Title,Home,Away,Court,Date,Time
Satya's Directs vs 2024 MSHoops Redeem Team,Satya's Directs,2024 MSHoops Redeem Team,redwest,08/06/2024,5:30
Another Brick in the Wall vs Chain Blockers,Another Brick in the Wall,Chain Blockers,redwest,08/06/2024,6:30
Hoopsters vs Layup Legends A,Hoopsters,Layup Legends A,43,08/06/2024,6:30
Fellas of Finance vs 2024 MSHoops Redeem Team,Fellas of Finance,2024 MSHoops Redeem Team,92,08/12/2024,5:30
Chain Blockers vs Layup Legends A,Chain Blockers,Layup Legends A,92,08/12/2024,4:30
The Splashware Engineers vs Another Brick in the Wall,The Splashware Engineers,Another Brick in the Wall,redwest,08/12/2024,4:30
Like Clockwork vs Air-Gapped 1's,Like Clockwork,Air-Gapped 1's,92,07/15/2024,6:30
Jump vs Paewox,Jump,Paewox,43,07/15/2024,6:30
Fixers vs Layup Legends B,Fixers,Layup Legends B,43,07/15/2024,5:30
Clippy - The Way We Got Shooters Everywhere vs Paul Allen's Ballers,Clippy - The Way We Got Shooters Everywhere,Paul Allen's Ballers,92,07/15/2024,4:30
Scrubs vs DefenseWonChampionship,Scrubs,DefenseWonChampionship,redwest,07/15/2024,5:30
Geneva Hoops vs Like Clockwork,Geneva Hoops,Like Clockwork,redwest,07/16/2024,6:30
Paul Allen's Ballers vs Jump,Paul Allen's Ballers,Jump,43,07/17/2024,5:30
Fixers vs GPT-8,Fixers,GPT-8,43,07/17/2024,6:30
Geneva Hoops vs EthicallySourcedBuckets,Geneva Hoops,EthicallySourcedBuckets,redwest,07/17/2024,4:30
Victorius vs DefenseWonChampionship,Victorius,DefenseWonChampionship,redwest,07/17/2024,5:30
Air-Gapped 1's vs Paewox,Air-Gapped 1's,Paewox,92,07/17/2024,6:30
Clippy - The Way We Got Shooters Everywhere vs Layup Legends B,Clippy - The Way We Got Shooters Everywhere,Layup Legends B,92,07/17/2024,5:30
EthicallySourcedBuckets vs Victorius,EthicallySourcedBuckets,Victorius,92,07/18/2024,4:30
GPT-8 vs Scrubs,GPT-8,Scrubs,redwest,07/18/2024,5:30
EthicallySourcedBuckets vs Scrubs,EthicallySourcedBuckets,Scrubs,redwest,07/22/2024,5:30
Geneva Hoops vs DefenseWonChampionship,Geneva Hoops,DefenseWonChampionship,92,07/22/2024,6:30
Like Clockwork vs Clippy - The Way We Got Shooters Everywhere,Like Clockwork,Clippy - The Way We Got Shooters Everywhere,redwest,07/22/2024,6:30
Layup Legends B vs Jump,Layup Legends B,Jump,redwest,07/22/2024,4:30
Jump vs GPT-8,Jump,GPT-8,redwest,07/23/2024,4:30
Scrubs vs Paul Allen's Ballers,Scrubs,Paul Allen's Ballers,43,07/23/2024,5:30
Fixers vs Like Clockwork,Fixers,Like Clockwork,redwest,07/23/2024,6:30
Layup Legends B vs Victorius,Layup Legends B,Victorius,43,07/24/2024,5:30
Geneva Hoops vs GPT-8,Geneva Hoops,GPT-8,92,07/24/2024,5:30
Fixers vs Air-Gapped 1's,Fixers,Air-Gapped 1's,redwest,07/24/2024,4:30
DefenseWonChampionship vs EthicallySourcedBuckets,DefenseWonChampionship,EthicallySourcedBuckets,redwest,07/24/2024,6:30
Victorius vs Clippy - The Way We Got Shooters Everywhere,Victorius,Clippy - The Way We Got Shooters Everywhere,92,07/25/2024,5:30
Paewox vs Scrubs,Paewox,Scrubs,92,07/29/2024,6:30
Layup Legends B vs Geneva Hoops,Layup Legends B,Geneva Hoops,redwest,07/29/2024,6:30
EthicallySourcedBuckets vs Clippy - The Way We Got Shooters Everywhere,EthicallySourcedBuckets,Clippy - The Way We Got Shooters Everywhere,43,07/30/2024,6:30
Like Clockwork vs GPT-8,Like Clockwork,GPT-8,redwest,07/30/2024,6:30
DefenseWonChampionship vs Jump,DefenseWonChampionship,Jump,43,07/30/2024,5:30
Victorius vs Fixers,Victorius,Fixers,92,07/31/2024,5:30
GPT-8 vs Paewox,GPT-8,Paewox,redwest,07/31/2024,6:30
Geneva Hoops vs Paul Allen's Ballers,Geneva Hoops,Paul Allen's Ballers,43,07/31/2024,5:30
